Diablo III,PC,2012.0,Role-Playing,Activision,Blizzard Entertainment,M
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,EA LA,T
Guitar Hero II,PS2,2006.0,Misc,RedOctane,Harmonix Music Systems,T
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,Lionhead Studios,M
Resident Evil 5,PS3,2009.0,Action,Capcom,Capcom,M
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,Nintendo,E
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,EA Sports,E
Resident Evil,PS,1996.0,Action,Virgin Interactive,Capcom,M
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,Rockstar Leeds,M
Tony Hawks Pro Skater,PS,1999.0,Sports,Activision,Neversoft Entertainment,T
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,"Neversoft Entertainment, BudCat",T
Links Crossbow Training,Wii,2007.0,Shooter,Nintendo,Nintendo,T
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
Uncharted: Drakes Fortune,PS3,2007.0,Action,Sony Computer Entertainment,"Naughty Dog, SCE/WWS",T
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,EA Sports,E
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,Blizzard Entertainment,T
Assassins Creed,PS3,2007.0,Adventure,Ubisoft,Ubisoft Montreal,M
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,SCE Santa Monica,M
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,Naughty Dog,E
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,TT Fusion,E
Driver 2,PS,2000.0,Action,Atari,Reflections Interactive,T
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
Tony Hawks Pro Skater 2,PS,2000.0,Sports,Activision,Neversoft Entertainment,T
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,Stormfront Studios,T
Tomb Raider,PS,1996.0,Action,Eidos Interactive,Core Design Ltd.,T
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,Nintendo,E
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,Bluepoint Games,T
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,Nintendo,E
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,Vicarious Visions,T
Luigis Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,Next Level Games,E
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,Turn 10,E
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,EA Tiburon,E
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,Neversoft Entertainment,T
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,EA Sports,E
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,343 Industries,T
Spider-Man: The Movie,PS2,2002.0,Action,Activision,Treyarch,E
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,Infinity Ward,M
God of War,PS2,2005.0,Action,Sony Computer Entertainment,SCE Santa Monica,M
Splatoon,WiiU,2015.0,Shooter,Nintendo,Nintendo,E10+
Nintendo Land,WiiU,2012.0,Misc,Nintendo,Nintendo,E10+
Tony Hawks Pro Skater 3,PS2,2001.0,Sports,Activision,Neversoft Entertainment,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,Konami,E
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,Bethesda Softworks,M
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,EA Canada,T
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,"Ubisoft Paris, Ubisoft Montpellier",E10+
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,Insomniac Games,M
Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,Square Enix,E10+
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,Nintendo,E
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,Lionhead Studios,M
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,Mass Media,E
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,Rocksteady Studios,T
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,KCEJ,M
Assassins Creed: Revelations,PS3,2011.0,Action,Ubisoft,Ubisoft Montreal,M
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
FIFA 14,X360,2013.0,Sports,Electronic Arts,EA Canada,E
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,Ready at Dawn,E10+
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,EA Canada,E
EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,"SCEE, Zoe Mode",E
Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
Assassins Creed: Revelations,X360,2011.0,Action,Ubisoft,Ubisoft Montreal,M
Street Fighter IV,PS3,2009.0,Fighting,Capcom,Capcom,T
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,EA Sports,E
Half-Life,PC,1997.0,Shooter,Vivendi Games,Valve Software,M
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,Blizzard Entertainment,T
Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,EA DICE,M
God of War II,PS2,2007.0,Action,Sony Computer Entertainment,SCE Santa Monica,M
Fallout: New Vegas,X360,2010.0,Role-Playing,Bethesda Softworks,Obsidian Entertainment,M
Forza Motorsport 2,X360,2007.0,Racing,Microsoft Game Studios,Turn 10,E
Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,Cat Daddy Games,E
Watch Dogs,PS4,2014.0,Action,Ubisoft,Ubisoft Montreal,M
Tekken Tag Tournament,PS2,2000.0,Fighting,Namco Bandai Games,Namco,T
Far Cry 4,PS4,2014.0,Shooter,Ubisoft,Ubisoft Montreal,M
Left 4 Dead 2,X360,2009.0,Shooter,Electronic Arts,Valve Software,M
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,CD Projekt Red Studio,M
Assassins Creed: Unity,PS4,2014.0,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",M
Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,M
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,Nintendo,E10+
Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,Level 5,E10+
EA Sports Active,Wii,2009.0,Sports,Electronic Arts,EA Canada,E
Tony Hawks Underground,PS2,2003.0,Sports,Activision,Neversoft Entertainment,T
Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,Capcom,T
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,Visual Concepts,E10+
Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games,Namco,T
MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment,Evolution Studios,T
World Soccer Winning Eleven 8 International,PS2,2004.0,Sports,Konami Digital Entertainment,KCET,E
Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,"SCEA, Zindagi Games",E10+
Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,Infinity Ward,M
Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,"Nintendo, Namco Bandai Games",E
Tom Clancys The Division,PS4,2016.0,Shooter,Ubisoft,Massive Entertainment,M
Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,Nintendo,E
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,Activision,Travellers Tales,E10+
The Sims: Unleashed,PC,2002.0,Simulation,Electronic Arts,Maxis,T
Harry Potter and the Sorcerers Stone,PS,2001.0,Action,Electronic Arts,Argonaut Games,E
Super Paper Mario,Wii,2007.0,Platform,Nintendo,Intelligent Systems,E
Spyro: Year of the Dragon,PS,2000.0,Platform,Sony Computer Entertainment,Insomniac Games,E
Assassins Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,Ubisoft,M
FIFA Soccer 2005,PS2,2004.0,Sports,Electronic Arts,EA Canada,E
Tony Hawks Pro Skater 4,PS2,2002.0,Sports,Activision,Neversoft Entertainment,T
MySims,DS,2007.0,Simulation,Electronic Arts,TOSE,E
Midnight Club 3: DUB Edition,PSP,2005.0,Racing,Take-Two Interactive,Rockstar Leeds,E10+
SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,Zipper Interactive,M
Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,Sony Computer Entertainment,Naughty Dog,E
Pro Evolution Soccer 2008,PS2,2007.0,Sports,Konami Digital Entertainment,Konami,E
Resident Evil 4,PS2,2005.0,Action,Capcom,Capcom,M
Guitar Hero: World Tour,Wii,2008.0,Misc,Activision,Vicarious Visions,T
FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,EA Sports,E
Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts,Pandemic Studios,T
The Simpsons: Road Rage,PS2,2001.0,Racing,Electronic Arts,Fox Interactive,T
Luigis Mansion,GC,2001.0,Action,Nintendo,Nintendo,E
Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,EA DICE,M
Star Wars: Battlefront II,PS2,2005.0,Shooter,LucasArts,Pandemic Studios,T
Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,505 Games,Office Create,E
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,Take-Two Interactive,Rockstar Leeds,M
The Getaway,PS2,2002.0,Action,Sony Computer Entertainment,Team Soho,M
James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,Electronic Arts,EA Redwood Shores,T
FIFA Soccer 11,X360,2010.0,Sports,Electronic Arts,EA Sports,E
Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,Certain Affinity,M
Assassins Creed: Unity,XOne,2014.0,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",M
Resident Evil 5,X360,2009.0,Action,Capcom,Capcom,M
Assassins Creed: Brotherhood,X360,2010.0,Action,Ubisoft,Ubisoft Montreal,M
Battlefield 4,PS3,2013.0,Shooter,Electronic Arts,EA DICE,M
Batman: Arkham Asylum,X360,2009.0,Action,Eidos Interactive,Rocksteady Studios,T
Battlefield 4,X360,2013.0,Shooter,Electronic Arts,EA DICE,M
Battlefield: Bad Company 2,X360,2010.0,Shooter,Electronic Arts,EA DICE,M
Guitar Hero: On Tour,DS,2008.0,Misc,Activision,Vicarious Visions,E10+
Clubhouse Games,DS,2006.0,Misc,Nintendo,Agenda,E
Borderlands,X360,2009.0,Shooter,Take-Two Interactive,Gearbox Software,M
Tekken 4,PS2,2002.0,Fighting,Namco Bandai Games,Namco,T
Grand Theft Auto 2,PS,1998.0,Action,Take-Two Interactive,DMA Design,T
Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,"Kojima Productions, Moby Dick Studio",M
Spider-Man 2,PS2,2004.0,Action,Activision,Treyarch,T
FIFA Soccer 2003,PS2,2002.0,Sports,Electronic Arts,EA Canada,E
LittleBigPlanet 2,PS3,2011.0,Platform,Sony Computer Entertainment,Media Molecule,E
Crash Bash,PS,2000.0,Misc,Sony Computer Entertainment,Eurocom Entertainment Software,E
Assassins Creed Syndicate,PS4,2015.0,Action,Ubisoft,Ubisoft Quebec,M
LEGO Batman: The Videogame,X360,2008.0,Action,Warner Bros. Interactive Entertainment,Travellers Tales,E10+
Destiny,XOne,2014.0,Shooter,Activision,"Bungie Software, Bungie",T
Far Cry 3,PS3,2012.0,Shooter,Ubisoft,Ubisoft Montreal,M
James Bond 007: Nightfire,PS2,2002.0,Shooter,Electronic Arts,Eurocom Entertainment Software,T
Star Wars Episode III: Revenge of the Sith,PS2,2005.0,Action,LucasArts,Double Helix Games,T
The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,Nintendo,E10+
Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,Rockstar Toronto,M
Assassins Creed IV: Black Flag,X360,2013.0,Action,Ubisoft,Ubisoft,M
